"Date","Followers","Difference in followers from previous day"
"2 de dezembro","10920","30"
"3 de dezembro","10950","55"
"4 de dezembro","11005","52"
"5 de dezembro","11057","56"
"6 de dezembro","11113","48"
"7 de dezembro","11161","53"
"8 de dezembro","11214","52"
"9 de dezembro","11266","117"
"10 de dezembro","11383","311"
"11 de dezembro","11694","201"
"12 de dezembro","11895","116"
"13 de dezembro","12011","129"
"14 de dezembro","12140","78"
"15 de dezembro","12218","68"
"16 de dezembro","12286","75"
"17 de dezembro","12361","95"
"18 de dezembro","12456","87"
"19 de dezembro","12543","83"
"20 de dezembro","12626","121"
"21 de dezembro","12747","93"
"22 de dezembro","12840","64"
"23 de dezembro","12904","34"
"24 de dezembro","12938","83"
"25 de dezembro","13021","93"
"26 de dezembro","13114","66"
"27 de dezembro","13180","77"
"28 de dezembro","13257","47"
"29 de dezembro","13304","51"
"30 de dezembro","13355","29"
"31 de dezembro","13384","30"
"1 de janeiro","13414","76"
"2 de janeiro","13490","136"
"3 de janeiro","13626","212"
"4 de janeiro","13838","154"
"5 de janeiro","13992","173"
"6 de janeiro","14165","173"
"7 de janeiro","14338","128"
"8 de janeiro","14466","94"
"9 de janeiro","14560","56"
"10 de janeiro","14616","69"
"11 de janeiro","14685","62"
"12 de janeiro","14747","57"
"13 de janeiro","14804","108"
"14 de janeiro","14912","84"
"15 de janeiro","14996","78"
"16 de janeiro","15074","57"
"17 de janeiro","15131","68"
"18 de janeiro","15199","104"
"19 de janeiro","15303","66"
"20 de janeiro","15369","60"
"21 de janeiro","15429","51"
"22 de janeiro","15480","61"
"23 de janeiro","15541","73"
"24 de janeiro","15614","65"
"25 de janeiro","15679","58"
"26 de janeiro","15737","78"
"27 de janeiro","15815","64"
"28 de janeiro","15879","71"
"29 de janeiro","15950","57"
"30 de janeiro","16007","66"
"31 de janeiro","16073","71"
"1 de fevereiro","16144","94"
"2 de fevereiro","16238","67"
"3 de fevereiro","16305","74"
"4 de fevereiro","16379","95"
"5 de fevereiro","16474","69"
"6 de fevereiro","16543","78"
"7 de fevereiro","16621","79"
"8 de fevereiro","16700","78"
"9 de fevereiro","16778","63"
"10 de fevereiro","16841","52"
"11 de fevereiro","16893","56"
"12 de fevereiro","16949","42"
"13 de fevereiro","16991","50"
"14 de fevereiro","17041","59"
"15 de fevereiro","17100","64"
"16 de fevereiro","17164","62"
"17 de fevereiro","17226","41"
"18 de fevereiro","17267","75"
"19 de fevereiro","17342","49"
"20 de fevereiro","17391","33"
"21 de fevereiro","17424","60"
"22 de fevereiro","17484","74"
"23 de fevereiro","17558","109"
"24 de fevereiro","17667","84"
"25 de fevereiro","17751","61"
"26 de fevereiro","17812","46"
"27 de fevereiro","17858","47"
"28 de fevereiro","17905","50"
"1 de março","17955","61"
"2 de março","18016","48"
"3 de março","18064","25"
"4 de março","18089","32"
"5 de março","18121","24"
"6 de março","18145","25"
"7 de março","18170","22"
"8 de março","18192","34"
"9 de março","18226","43"
"10 de março","18269","24"
"11 de março","18293","16"
"12 de março","18309","107"
"13 de março","18416","143"
"14 de março","18559","201"
"15 de março","18760","204"
"16 de março","18964","310"
"17 de março","19274","174"
"18 de março","19448","308"
"19 de março","19756","128"
"20 de março","19884","138"
"21 de março","20022","128"
"22 de março","20150","128"
"23 de março","20278","111"
"24 de março","20389","89"
"25 de março","20478","66"
"26 de março","20544","60"
"27 de março","20604","56"
"28 de março","20660","57"
"29 de março","20717","54"
"30 de março","20771","65"
"31 de março","20836","55"
"1 de abril","20891","78"
"2 de abril","20969","78"
"3 de abril","21047","85"
"4 de abril","21132","62"
"5 de abril","21194","80"
"6 de abril","21274","57"
"7 de abril","21331","60"
"8 de abril","21391","72"
"9 de abril","21463","58"
"10 de abril","21521","62"
"11 de abril","21583","0"
