"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Alcance,Curtidas,Compartilhamentos,"Visitas ao perfil",Respostas,Navegação,Seguimentos,"Cliques no link","Toques em figurinhas"
18101241097787038,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","Base Heinish Artless Glow SPF 50 PA ++ 40 ml GS 174.000 mil GS OBS: Producto sujeto a alteración de valor sin previo aviso",15,"04/13/2026 06:28",https://www.instagram.com/stories/megaelectronicosparaguay/3874420121524190817,"Story do Instagram",,Total,2392,1928,7,1,3,0,1430,,1,
18094072733331077,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","Parche para acné Cosrx Pimple Máster - 24 unidades  GS 36.000 mil OBS: Precio sujetos a alteración de valor sin previo aviso",16,"04/13/2026 06:22",https://www.instagram.com/stories/megaelectronicosparaguay/3874417171561179826,"Story do Instagram",,Total,1526,1426,6,1,1,0,1466,,,
17853863238642827,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","Gel Facial de limpieza de COSRX pH Good Morning 50 ml GS 95.000 mil GS OBS: Producto sujeto a cambio de valor sin previo aviso",21,"04/13/2026 06:17",https://www.instagram.com/stories/megaelectronicosparaguay/3874414633596194298,"Story do Instagram",,Total,1581,1465,5,0,1,0,1520,,1,
18117545710635615,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","Distribuidor oficial autorizado de Toda la línea podes encontrarlo en la web✅ Dr.Melaxin",11,"04/13/2026 06:12",https://www.instagram.com/stories/megaelectronicosparaguay/3874412284760788782,"Story do Instagram",,Total,1820,1619,5,2,,0,1575,,1,
18346202182209520,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","Crema facial hidratante Dr.Melaxin TX-Cream 50 g GS 237.000 mil  OBS: Producto sujeto a alteración de valor sin previo aviso",14,"04/13/2026 05:50",https://www.instagram.com/stories/megaelectronicosparaguay/3874401036727971276,"Story do Instagram",,Total,1689,1550,8,0,4,0,1623,1,2,
17938480278211887,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","Pequeño gesto, gran cambio: una crema y chau cara de "" no dormí nada. "" 🤭",23,"04/13/2026 05:44",https://www.instagram.com/stories/megaelectronicosparaguay/3874398124371036142,"Story do Instagram",,Total,1779,1615,8,1,3,0,1687,,6,
17987607536970040,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","Esfoliante fácil Dr.Melaxin Peel Shot Black Rice 80 ml GS 190.000 mil  OBS: Producto sujeto a alteración de valor sin previo aviso",19,"04/13/2026 05:31",https://www.instagram.com/stories/megaelectronicosparaguay/3874391677490923485,"Story do Instagram",,Total,1884,1682,7,0,4,0,1778,,9,
18100647851480904,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","Si les gusta el auto-cuidado les va encantar las siguientes stories 🧼🤩 ¡Feliz lunes para tod@s! ¡Buen díaaa!☀️",20,"04/13/2026 05:22",https://www.instagram.com/stories/megaelectronicosparaguay/3874386887436375288,"Story do Instagram",,Total,3478,2637,13,7,13,0,1945,,,
17894125362303434,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾",,19,"04/12/2026 04:44",https://www.instagram.com/stories/megaelectronicosparaguay/3873643280110701941,"Story do Instagram",,Total,4364,3696,8,0,38,2,4010,1,,39
18569540002016025,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾",,5,"04/11/2026 09:59",https://www.instagram.com/stories/megaelectronicosparaguay/3873076843751123963,"Story do Instagram",,Total,1589,1292,8,0,9,0,1474,,,30
18121834126614392,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾",,0,"04/11/2026 09:51",https://www.instagram.com/stories/megaelectronicosparaguay/3873072793454357678,"Story do Instagram",,Total,1533,1343,10,0,2,0,1461,,,4
18018046403826930,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","Gracias a Torriden💙 Piel glow, hidratada y feliz 💧✨ 
 Podes darle un vistazo a nuestra página !",10,"04/11/2026 08:56",https://www.instagram.com/stories/megaelectronicosparaguay/3873045383241524014,"Story do Instagram",,Total,1422,1277,7,0,2,0,1367,,8,
18081496082369590,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","✨ 🔝 Somos los revendedores oficiales autorizados de MEDICUBE ✨",12,"04/11/2026 07:24",https://www.instagram.com/stories/megaelectronicosparaguay/3872998804186954467,"Story do Instagram",,Total,1377,1244,7,1,3,0,1326,,8,
18133487434552723,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","ARENCIA✨ No es magia, es cuidado real💛",12,"04/11/2026 07:01",https://www.instagram.com/stories/megaelectronicosparaguay/3872987337337322333,"Story do Instagram",,Total,1404,1260,7,0,,0,1347,,16,
18096590780012809,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","Acceso al link 👇🏽",9,"04/11/2026 05:51",https://www.instagram.com/stories/megaelectronicosparaguay/3872952234527674542,"Story do Instagram",,Total,1379,1262,5,0,3,0,1328,,8,
18084107960056922,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","Acondicionador Tsubaki premium EX Damage Care 300 millones GS 111.000 mil OBS: Producto sujete a cambio de precio sin previo aviso",8,"04/11/2026 05:45",https://www.instagram.com/stories/megaelectronicosparaguay/3872949124560286935,"Story do Instagram",,Total,1409,1286,4,0,5,0,1303,,,
18076637552162900,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","Tratamiento capilar Tsubaki premium volume & repair 160 g GS 135.000 mil OBS: Producto sujeto a cambio de precio sin previo aviso",8,"04/11/2026 05:41",https://www.instagram.com/stories/megaelectronicosparaguay/3872947242567676731,"Story do Instagram",,Total,1440,1321,5,0,,0,1322,,,
