"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Alcance,Curtidas,Compartilhamentos,Seguimentos,"Visitas ao perfil",Respostas,Navegação,"Cliques no link","Toques em figurinhas"
18034746341603046,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Celular realme Note 60X RMX3938 Dual SIM de 128GB 4GB RAM U$ 99.00-R$ 506.88 Valor sujeito a alteração",0,"04/16/2026 12:34",https://www.instagram.com/stories/megaeletronicosoficialpy/3876778474526518526,"Story do Instagram",,Total,6653,5825,9,13,2,28,5,6165,,
18104489134899215,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,60,"04/16/2026 16:16",https://www.instagram.com/stories/megaeletronicosoficialpy/3876890393698663379,"Story do Instagram",,Total,6801,5814,31,34,2,60,7,6201,,
18109897135831570,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Começando o dia com dica boa! Uma marca conhecida pela resistência absurda… Doogee 🔥",0,"04/17/2026 04:37",https://www.instagram.com/stories/megaeletronicosoficialpy/3877263403069324476,"Story do Instagram",,Total,9342,7770,22,4,3,42,1,6243,,
17858955627685709,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Celular DOOGEE Fire 3 Max NFC Dual SIM de 256GB 8GB RAM  U$ 159.00-R$ 812.49 Valor sujeito a alteração",23,"04/17/2026 05:07",https://www.instagram.com/stories/megaeletronicosoficialpy/3877278256064476801,"Story do Instagram",,Total,6356,5744,15,4,,14,3,5871,3,
18080690717109812,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Celular DOOGEE Fire 7 Ultra NFC Dual SIM de 256GB 8GB RAM U$ 249.00-R$ 1,272.39 Valor sujeito a alteração",26,"04/17/2026 05:14",https://www.instagram.com/stories/megaeletronicosoficialpy/3877282050475139497,"Story do Instagram",,Total,6129,5571,8,7,1,9,1,5796,6,
17983652093986287,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Tablet DOOGEE U12 128GB 6GB RAM U$ 129.00-R$ 659.19 Valor sujeito a alteração",18,"04/17/2026 05:23",https://www.instagram.com/stories/megaeletronicosoficialpy/3877286673093075606,"Story do Instagram",,Total,6064,5449,13,6,1,13,2,5732,9,
18118401868566365,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Produtos com até 75% Off É só na MEGA BEAUTY 🔥 🔥",37,"04/17/2026 07:19",https://www.instagram.com/stories/megaeletronicosoficialpy/3877344708477955586,"Story do Instagram",,Total,6112,5444,22,15,3,20,7,5776,,
18345701350208094,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Tônico Facial SOME BY MI AHA BHA PHA 30 Days Miracle de 150 ml U$ 6.99-R$ 35.51 Valor sujeito a alteração",16,"04/17/2026 07:24",https://www.instagram.com/stories/megaeletronicosoficialpy/3877347266105778075,"Story do Instagram",,Total,5834,5310,9,5,,4,0,5489,17,
18358356325239274,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Máscara Facial Biodance Refreshing Sea Kelp Real Deep Mask - 4 Unidades U$ 6.50-R$ 33.02 Valor sujeito a alteração",24,"04/17/2026 07:28",https://www.instagram.com/stories/megaeletronicosoficialpy/3877349244307353668,"Story do Instagram",,Total,5649,5183,7,1,,12,1,5401,6,
17869355865505936,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Óleo Facial de Limpeza Abib Pore Cleansing Oil Heartleaf Oil-Wash de 200 ml U$ 9.90-R$ 50.29 Valor sujeito a alteração  Distribuidor oficial da marca Abib",24,"04/17/2026 07:44",https://www.instagram.com/stories/megaeletronicosoficialpy/3877357271936778855,"Story do Instagram",,Total,5594,5047,7,1,,59,2,5358,23,
18583682857020251,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"04/18/2026 04:14",https://www.instagram.com/stories/megaeletronicosoficialpy/3877976477287361070,"Story do Instagram",,Total,29940,20536,12,23,1,50,3,6306,,
18044703305770868,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Começando o dia do jeito certo 
Promo, novidade e chopp beeem gelado 🍻🔥 
vem aproveitar!",0,"04/18/2026 04:36",https://www.instagram.com/stories/megaeletronicosoficialpy/3877987537130749577,"Story do Instagram",,Total,8355,6849,21,3,3,23,3,6240,,
17937842658198949,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Audisat é simplesmente a melhor!  Qualidade top e um custo-benefício que não tem comparação 🔥",0,"04/18/2026 04:43",https://www.instagram.com/stories/megaeletronicosoficialpy/3877991200309979668,"Story do Instagram",,Total,6258,5507,13,2,,20,2,5744,,
18071643458281157,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","💥 MEGA BEAUTY EM PROMOÇÃO 💥 
Qualidade top com aquele precinho que a gente ama! Corre aproveitar 👀",17,"04/18/2026 06:00",https://www.instagram.com/stories/megaeletronicosoficialpy/3878029773771966915,"Story do Instagram",,Total,6326,5571,10,6,,14,5,5861,,
18106143817723868,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,20,"04/18/2026 06:01",https://www.instagram.com/stories/megaeletronicosoficialpy/3878030535432434678,"Story do Instagram",,Total,6389,5436,6,13,,5,2,6253,,
18101272855788529,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,20,"04/18/2026 06:02",https://www.instagram.com/stories/megaeletronicosoficialpy/3878031032398749290,"Story do Instagram",,Total,6348,5344,8,2,,5,0,6273,,
18399560920151229,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,20,"04/18/2026 06:03",https://www.instagram.com/stories/megaeletronicosoficialpy/3878031348582140125,"Story do Instagram",,Total,5949,5279,4,1,,5,0,5895,,
17856646686634566,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,20,"04/18/2026 06:04",https://www.instagram.com/stories/megaeletronicosoficialpy/3878031759271605478,"Story do Instagram",,Total,5755,5229,5,3,,9,1,5688,,
18199452475345584,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Passando pra te mostrar um sabor que surpreende Hoje tem degustação pelas mãos da BRITÂNIA por aqui! @britaniapy",17,"04/18/2026 07:07",https://www.instagram.com/stories/megaeletronicosoficialpy/3878063650896964717,"Story do Instagram",,Total,5933,5332,6,1,2,15,0,5716,,
18098116520047197,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Sábado animado por aqui 🔥🤩 Te esperamos até as 15:00",17,"04/18/2026 09:46",https://www.instagram.com/stories/megaeletronicosoficialpy/3878143571396784173,"Story do Instagram",,Total,6217,5489,20,10,1,26,3,5788,,
18101164408783141,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"04/18/2026 10:52",https://www.instagram.com/stories/megaeletronicosoficialpy/3878177074532425467,"Story do Instagram",,Total,6347,5546,7,0,,10,0,6019,,13
18125767474581460,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"04/18/2026 10:52",https://www.instagram.com/stories/megaeletronicosoficialpy/3878177146716394654,"Story do Instagram",,Total,6188,5433,12,2,1,12,1,5986,,10
18117674422639060,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"04/18/2026 10:52",https://www.instagram.com/stories/megaeletronicosoficialpy/3878177182946773456,"Story do Instagram",,Total,6188,5357,12,1,,9,0,5909,,61
18550603267064621,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"04/18/2026 10:52",https://www.instagram.com/stories/megaeletronicosoficialpy/3878177223170134337,"Story do Instagram",,Total,6307,5217,10,0,1,51,2,5886,,59
18099530549057311,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,20,"04/19/2026 05:41",https://www.instagram.com/stories/megaeletronicosoficialpy/3878745083982468796,"Story do Instagram",,Total,8089,7105,16,10,7,41,1,7598,,
18318221242256137,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Venha aproveitar o feriado prolongado aqui na mega eletrônicos 🥰✨ Bom dia pessoal!!!",26,"04/19/2026 05:47",https://www.instagram.com/stories/megaeletronicosoficialpy/3878748140111749677,"Story do Instagram",,Total,7246,6522,23,2,1,7,3,6900,,
18074525924240410,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Speaker Blackview AuraBass 1 8 watts com Bluetooth - Preto U$ 28.00-R$ 142.80 Valor sujeito a alteração",0,"04/19/2026 05:55",https://www.instagram.com/stories/megaeletronicosoficialpy/3878752266115698295,"Story do Instagram",,Total,7102,6375,17,5,1,11,0,6829,,
18100014941069779,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Tablet Blackview Link 2 128GB U$ 110.00-R$ 561.00 Valor sujeito a alteração",21,"04/19/2026 05:58",https://www.instagram.com/stories/megaeletronicosoficialpy/3878753547358160790,"Story do Instagram",,Total,7100,6248,17,9,2,7,0,6777,,
18090750725599389,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Celular Blackview BL9000 NFC Dual SIM de 512GB 12GB RAM U$ 359.00-R$ 1,830.90 Valor sujeito a alteração",28,"04/19/2026 06:00",https://www.instagram.com/stories/megaeletronicosoficialpy/3878754820631414641,"Story do Instagram",,Total,6969,6162,10,2,,15,0,6690,,
18580098097000008,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","U$ 129.00-R$ 657.90 Tablet DOOGEE U12 128GB  Valor sujeito a alteração",0,"04/19/2026 06:04",https://www.instagram.com/stories/megaeletronicosoficialpy/3878756601247683441,"Story do Instagram",,Total,6792,6088,15,16,1,10,2,6481,,
18010930868698765,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Celular DOOGEE Fire 3 Max NFC Dual SIM de 256GB U$ 159.00-R$ 810.90 Valor sujeito a alteração",0,"04/19/2026 06:06",https://www.instagram.com/stories/megaeletronicosoficialpy/3878757739950886275,"Story do Instagram",,Total,6579,5993,9,3,2,6,0,6387,,
17884989006481366,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Loja movimentada por aqui hoje ✨🥰 Corre aproveitar a promo com até 75% Off",0,"04/19/2026 06:20",https://www.instagram.com/stories/megaeletronicosoficialpy/3878764458085049185,"Story do Instagram",,Total,6486,5951,17,3,1,17,1,6197,,
18461693530111091,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Domingo feliz ✨ ✨ Te esperamos até 13h",14,"04/19/2026 06:32",https://www.instagram.com/stories/megaeletronicosoficialpy/3878770659464175631,"Story do Instagram",,Total,6354,5850,14,0,,19,1,5984,,
18082057382171077,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Produtos com até 75% Off 🔥✨",14,"04/19/2026 08:24",https://www.instagram.com/stories/megaeletronicosoficialpy/3878827270194934116,"Story do Instagram",,Total,6451,6008,16,6,,8,2,5771,,
18171165589410264,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Perfume Feminino Elizabeth Arden Green Tea EDP 100 ml U$ 10.90-R$ 55.59 Valor sujeito a alteração",10,"04/19/2026 08:28",https://www.instagram.com/stories/megaeletronicosoficialpy/3878829192855501246,"Story do Instagram",,Total,6292,5856,11,1,,8,1,5639,,
18101906005771307,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Protetor Solar ROUND LAB Birch Juice Mild-up UVLock SPF 50+ 50 ml U$ 9.90-R$ 50.49 Valor sujeito a alteração",10,"04/19/2026 08:30",https://www.instagram.com/stories/megaeletronicosoficialpy/3878830417483259670,"Story do Instagram",,Total,6158,5763,7,5,2,5,0,5649,,
18432765526191259,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Sérum Facial Purito Seoul Wonder Releaf Centella Unscented de 60 ml U$ 9.69-R$ 49.42 Valor sujeito a alteração",8,"04/19/2026 08:36",https://www.instagram.com/stories/megaeletronicosoficialpy/3878833409783568522,"Story do Instagram",,Total,6054,5714,7,3,,9,0,5607,,
18180707776376087,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Creme Labial & Blush fwee Blurry Pudding Pot U$ 12.90-R$ 65.79 Valor sujeito a alteração",10,"04/19/2026 08:41",https://www.instagram.com/stories/megaeletronicosoficialpy/3878835620299245396,"Story do Instagram",,Total,6101,5615,8,1,,35,1,5723,,
18096440077870430,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"04/20/2026 03:22",https://www.instagram.com/stories/megaeletronicosoficialpy/3879400211424520488,"Story do Instagram",,Total,7753,6438,28,51,3,56,4,7217,,37
18092485496274974,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"04/20/2026 03:23",https://www.instagram.com/stories/megaeletronicosoficialpy/3879400378492009613,"Story do Instagram",,Total,7039,6071,16,5,,5,1,6837,,7
18099371803834820,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"04/20/2026 03:23",https://www.instagram.com/stories/megaeletronicosoficialpy/3879400433521267174,"Story do Instagram",,Total,6715,5885,9,13,,10,0,6527,,13
18020603699654178,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"04/20/2026 03:23",https://www.instagram.com/stories/megaeletronicosoficialpy/3879400513095640109,"Story do Instagram",,Total,6556,5760,10,3,,6,1,6419,,7
