"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Alcance,Curtidas,Compartilhamentos,"Visitas ao perfil",Respostas,Navegação,Seguimentos,"Toques em figurinhas","Cliques no link"
17913396882238134,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"11/17/2025 06:13",https://www.instagram.com/stories/megaeletronicosoficialpy/3767901011714353290,"Story do Instagram",,Total,19567,15744,24,17,62,0,17068,2,,
18053415833657481,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Me digam que produtos querem ver na promoção 👇🏻",20,"11/17/2025 06:08",https://www.instagram.com/stories/megaeletronicosoficialpy/3767898450605231683,"Story do Instagram",,Total,19773,16254,25,5,18,4,17369,2,,
17949018233683035,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Cada vez mais perto!!! Vocês estão prontos ? ⚠️⚠️⚠️",30,"11/17/2025 06:03",https://www.instagram.com/stories/megaeletronicosoficialpy/3767895731656058663,"Story do Instagram",,Total,21574,17977,71,49,117,9,17184,11,,
17944303086073352,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"11/15/2025 16:00",https://www.instagram.com/stories/megaeletronicosoficialpy/3766746927955312605,"Story do Instagram",,Total,4786,4315,5,0,28,0,4557,2,2,
17873171973371032,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"11/15/2025 15:44",https://www.instagram.com/stories/megaeletronicosoficialpy/3766738745899997254,"Story do Instagram",,Total,4597,4243,7,0,3,0,4466,,2,
18074362733188498,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"11/15/2025 15:27",https://www.instagram.com/stories/megaeletronicosoficialpy/3766730326765858419,"Story do Instagram",,Total,4725,4324,6,0,9,0,4568,,4,
17989636310735204,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","@fundacionamcham  @megaelectronicosparaguay",9,"11/15/2025 14:37",https://www.instagram.com/stories/megaeletronicosoficialpy/3766705187307224883,"Story do Instagram",,Total,6874,6098,7,0,8,0,4474,1,10,
17914366077087773,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"11/15/2025 14:09",https://www.instagram.com/stories/megaeletronicosoficialpy/3766690963575102891,"Story do Instagram",,Total,4861,4349,6,0,4,0,4641,,7,
17855776584511209,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,7,"11/15/2025 11:15",https://www.instagram.com/stories/megaeletronicosoficialpy/3766603163085380964,"Story do Instagram",,Total,6951,6161,11,0,10,1,4489,1,,
18056902904286827,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Hoje estamos no torneio de golfe Copa Fundação AMCHAM @fundacionamcham  @antolesmaa",13,"11/15/2025 10:58",https://www.instagram.com/stories/megaeletronicosoficialpy/3766595062886169623,"Story do Instagram",,Total,7658,6703,17,1,18,1,4717,1,28,
