"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Alcance,Curtidas,Compartilhamentos,Seguimentos,"Visitas ao perfil",Respostas,Navegação,"Toques em figurinhas","Cliques no link",Views,Likes,Shares,"Profile visits",Replies,"Link clicks",Navigation,Follows,"Sticker taps"
18432765526191259,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Sérum Facial Purito Seoul Wonder Releaf Centella Unscented de 60 ml U$ 9.69-R$ 49.42 Valor sujeito a alteração",8,"04/19/2026 08:36",https://www.instagram.com/stories/megaeletronicosoficialpy/3878833409783568522,"Story do Instagram",,Total,6054,5714,7,3,,9,0,5607,,
18101906005771307,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Protetor Solar ROUND LAB Birch Juice Mild-up UVLock SPF 50+ 50 ml U$ 9.90-R$ 50.49 Valor sujeito a alteração",10,"04/19/2026 08:30",https://www.instagram.com/stories/megaeletronicosoficialpy/3878830417483259670,"Story do Instagram",,Total,6158,5763,7,5,2,5,0,5649,,
18171165589410264,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Perfume Feminino Elizabeth Arden Green Tea EDP 100 ml U$ 10.90-R$ 55.59 Valor sujeito a alteração",10,"04/19/2026 08:28",https://www.instagram.com/stories/megaeletronicosoficialpy/3878829192855501246,"Story do Instagram",,Total,6292,5856,11,1,,8,1,5639,,
18082057382171077,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Produtos com até 75% Off 🔥✨",14,"04/19/2026 08:24",https://www.instagram.com/stories/megaeletronicosoficialpy/3878827270194934116,"Story do Instagram",,Total,6451,6008,16,6,,8,2,5771,,
18461693530111091,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Domingo feliz ✨ ✨ Te esperamos até 13h",14,"04/19/2026 06:32",https://www.instagram.com/stories/megaeletronicosoficialpy/3878770659464175631,"Story do Instagram",,Total,6354,5850,14,0,,19,1,5984,,
17884989006481366,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Loja movimentada por aqui hoje ✨🥰 Corre aproveitar a promo com até 75% Off",0,"04/19/2026 06:20",https://www.instagram.com/stories/megaeletronicosoficialpy/3878764458085049185,"Story do Instagram",,Total,6486,5951,17,3,1,17,1,6197,,
18010930868698765,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Celular DOOGEE Fire 3 Max NFC Dual SIM de 256GB U$ 159.00-R$ 810.90 Valor sujeito a alteração",0,"04/19/2026 06:06",https://www.instagram.com/stories/megaeletronicosoficialpy/3878757739950886275,"Story do Instagram",,Total,6579,5993,9,3,2,6,0,6387,,
18580098097000008,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","U$ 129.00-R$ 657.90 Tablet DOOGEE U12 128GB  Valor sujeito a alteração",0,"04/19/2026 06:04",https://www.instagram.com/stories/megaeletronicosoficialpy/3878756601247683441,"Story do Instagram",,Total,6792,6088,15,16,1,10,2,6481,,
18090750725599389,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Celular Blackview BL9000 NFC Dual SIM de 512GB 12GB RAM U$ 359.00-R$ 1,830.90 Valor sujeito a alteração",28,"04/19/2026 06:00",https://www.instagram.com/stories/megaeletronicosoficialpy/3878754820631414641,"Story do Instagram",,Total,6969,6162,10,2,,15,0,6690,,
18100014941069779,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Tablet Blackview Link 2 128GB U$ 110.00-R$ 561.00 Valor sujeito a alteração",21,"04/19/2026 05:58",https://www.instagram.com/stories/megaeletronicosoficialpy/3878753547358160790,"Story do Instagram",,Total,7100,6248,17,9,2,7,0,6777,,
