"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Alcance,Curtidas,Compartilhamentos,Seguimentos,"Visitas ao perfil",Respostas,"Toques em figurinhas",Navegação,"Cliques no link"
18171165589410264,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Perfume Feminino Elizabeth Arden Green Tea EDP 100 ml U$ 10.90-R$ 55.59 Valor sujeito a alteração",10,"04/19/2026 08:28",https://www.instagram.com/stories/megaeletronicosoficialpy/3878829192855501246,"Story do Instagram",,Total,6292,5856,11,1,,8,1,,5639,
18082057382171077,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Produtos com até 75% Off 🔥✨",14,"04/19/2026 08:24",https://www.instagram.com/stories/megaeletronicosoficialpy/3878827270194934116,"Story do Instagram",,Total,6451,6008,16,6,,8,2,,5771,
18461693530111091,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Domingo feliz ✨ ✨ Te esperamos até 13h",14,"04/19/2026 06:32",https://www.instagram.com/stories/megaeletronicosoficialpy/3878770659464175631,"Story do Instagram",,Total,6354,5850,14,0,,19,1,,5984,
17884989006481366,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Loja movimentada por aqui hoje ✨🥰 Corre aproveitar a promo com até 75% Off",0,"04/19/2026 06:20",https://www.instagram.com/stories/megaeletronicosoficialpy/3878764458085049185,"Story do Instagram",,Total,6486,5951,17,3,1,17,1,,6197,
18010930868698765,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Celular DOOGEE Fire 3 Max NFC Dual SIM de 256GB U$ 159.00-R$ 810.90 Valor sujeito a alteração",0,"04/19/2026 06:06",https://www.instagram.com/stories/megaeletronicosoficialpy/3878757739950886275,"Story do Instagram",,Total,6579,5993,9,3,2,6,0,,6387,
18580098097000008,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","U$ 129.00-R$ 657.90 Tablet DOOGEE U12 128GB  Valor sujeito a alteração",0,"04/19/2026 06:04",https://www.instagram.com/stories/megaeletronicosoficialpy/3878756601247683441,"Story do Instagram",,Total,6792,6088,15,16,1,10,2,,6481,
18090750725599389,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Celular Blackview BL9000 NFC Dual SIM de 512GB 12GB RAM U$ 359.00-R$ 1,830.90 Valor sujeito a alteração",28,"04/19/2026 06:00",https://www.instagram.com/stories/megaeletronicosoficialpy/3878754820631414641,"Story do Instagram",,Total,6969,6162,10,2,,15,0,,6690,
18100014941069779,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Tablet Blackview Link 2 128GB U$ 110.00-R$ 561.00 Valor sujeito a alteração",21,"04/19/2026 05:58",https://www.instagram.com/stories/megaeletronicosoficialpy/3878753547358160790,"Story do Instagram",,Total,7100,6248,17,9,2,7,0,,6777,
18074525924240410,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Speaker Blackview AuraBass 1 8 watts com Bluetooth - Preto U$ 28.00-R$ 142.80 Valor sujeito a alteração",0,"04/19/2026 05:55",https://www.instagram.com/stories/megaeletronicosoficialpy/3878752266115698295,"Story do Instagram",,Total,7102,6375,17,5,1,11,0,,6829,
18318221242256137,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Venha aproveitar o feriado prolongado aqui na mega eletrônicos 🥰✨ Bom dia pessoal!!!",26,"04/19/2026 05:47",https://www.instagram.com/stories/megaeletronicosoficialpy/3878748140111749677,"Story do Instagram",,Total,7246,6522,23,2,1,7,3,,6900,
